Project 006
Frequency	LAFmax [dB]	LASmax [dB]	LAFmin [dB]	LASmin [dB]	LAeq [dB]
12,5 Hz	7,51	7,51	7,13	7,13	7,47
16 Hz	10,7	10,7	-13,7	-13,7	6,4
20 Hz	10,79	10,79	6,1	6,1	8,37
25 Hz	16,47	15,31	9,2	10,02	12,6
31,5 Hz	20,35	19,48	12,48	13,82	17,06
40 Hz	36,3	35,27	28,93	30,25	33,17
50 Hz	43,36	41,56	32,81	36,17	39,48
63 Hz	50,04	47,92	41,86	44,17	46,19
80 Hz	49,54	47,28	40,29	42,7	45,14
100 Hz	52,29	48,92	41,36	45,86	47,17
125 Hz	65,78	61,69	55,35	57,66	59,58
160 Hz	71,27	68,38	61,01	64,61	66,38
200 Hz	73,67	70,66	64,72	67,7	69
250 Hz	77,8	75,27	70,06	72,76	73,86
315 Hz	82,58	79,78	74,34	77,51	78,6
400 Hz	84,81	81,42	76,6	79,22	80,31
500 Hz	83,44	81,81	78,46	79,92	80,98
630 Hz	85,09	83,01	78,8	80,74	81,99
800 Hz	84,13	82,84	79,68	81,21	82,07
1 kHz	85,08	83,58	80,21	81,77	82,62
1,25 kHz	87,38	85,86	84,04	84,93	85,42
1,6 kHz	87,61	86,41	84,08	85,4	85,89
2 kHz	86,59	85,33	83,3	84,4	84,98
2,5 kHz	85,86	85,01	83,23	84,25	84,62
3,15 kHz	86,82	86,07	84,44	85,1	85,63
4 kHz	88,1	87,15	85,35	86,09	86,79
5 kHz	81,57	81,01	79,84	80,27	80,71
6,3 kHz	81,42	80,69	79,24	79,76	80,37
8 kHz	68,43	67,94	66,81	67,22	67,63
10 kHz	63,52	63,06	62,24	62,32	62,87
12,5 kHz	54,7	54,29	53,29	53,48	54,03
16 kHz	33,63	33,34	32,93	32,78	33,23
20 kHz	25,22	24,95	24,62	24,42	24,87
A	95,72	95,32	94,64	94,64	95,13
C	96,57	96,04	95	95,22	95,73
