B_med_002
Frequency	T20 [s]	T30 [s]	EDT [s]
50 Hz	NaN (Não é um número)	NaN (Não é um número)	0,93
63 Hz	NaN (Não é um número)	NaN (Não é um número)	0,68
80 Hz	1,03	1,15	1,79
100 Hz	0,93	0,93	1,36
125 Hz	1,2	1,2	1,06
160 Hz	0,67	2,02	0,72
200 Hz	0,86	1,26	0,72
250 Hz	0,98	2,87	0,93
315 Hz	1,48	1,48	1,3
400 Hz	1,36	1,36	1,64
500 Hz	1,78	4,15	3,15
630 Hz	1,76	1,76	2,13
800 Hz	1,78	2,16	2,14
1 kHz	1,88	2,28	2,51
1,25 kHz	2,16	2,17	2,04
1,6 kHz	1,65	2,2	1,95
2 kHz	1,75	2,04	1,65
2,5 kHz	1,51	1,8	1,58
3,15 kHz	1,32	1,4	1,54
4 kHz	1,51	1,49	1,45
5 kHz	1,47	1,48	1,36
6,3 kHz	1,41	1,43	1,25
8 kHz	1,36	1,36	1,25
10 kHz	0,98	1,34	1,02
