B_med_018
Frequency	LZFmax [dB]	LZSmax [dB]	LZFmin [dB]	LZSmin [dB]	LZeq [dB]
12,5 Hz	48,24	48,24	20,58	20,58	35,8
16 Hz	56,38	56,38	20,57	20,57	31,24
20 Hz	38,83	38,83	26,54	26,54	31,86
25 Hz	47,16	46,26	23,98	26,67	31,38
31,5 Hz	36,47	35,39	23,99	25,88	29,74
40 Hz	44,14	42,84	33,68	35,05	39,21
50 Hz	46,06	43,75	34,36	38,17	41,32
63 Hz	45,24	43,3	33,32	36,64	40,21
80 Hz	40,35	36,31	25,19	26,77	30,12
100 Hz	40,32	35,22	24,28	27,6	29,75
125 Hz	49,49	46,66	35,88	42,18	44,33
160 Hz	46,53	41,92	33,44	37,72	39,24
200 Hz	46,46	44,12	37,95	41,48	42,91
250 Hz	47,04	44,42	39,04	41,47	42,86
315 Hz	54,25	51,16	45,72	48,32	49,61
400 Hz	55,19	53,51	47,86	50,24	52,16
500 Hz	51,8	50,34	46,36	47,97	48,87
630 Hz	48,63	46,88	43,63	45,27	45,89
800 Hz	44,42	43,04	40,33	41,61	42,26
1 kHz	46,33	44,77	42,2	43,32	44,13
1,25 kHz	50,01	48,86	45,68	47,16	47,9
1,6 kHz	48,17	46,67	43,99	45,09	45,75
2 kHz	45,33	44,44	42,27	43,27	43,94
2,5 kHz	46,1	45,34	43,49	44,11	44,7
3,15 kHz	45,2	44,39	42,27	43,23	43,74
4 kHz	44,63	43,74	41,57	42,81	43,39
5 kHz	38,8	38,15	36,43	36,9	37,57
6,3 kHz	34,4	33,75	30,65	32,31	32,92
8 kHz	28,13	26,15	16,74	17,83	20,45
10 kHz	27,73	24,91	14,49	16,22	19,02
12,5 kHz	26,46	23,37	12,66	13,34	16,97
16 kHz	24,34	21,57	13,3	13,49	16,09
20 kHz	21,6	19,96	15,78	15,85	17,01
A	57,25	56,65	55,21	55,94	56,37
Z	68,86	65,56	57,34	58,31	59,15
